system:index,class,.geo
0,1,"{""type"":""Polygon"",""coordinates"":[[[101.03916094802442,4.577515474091157],[101.04456828139844,4.576617125950222],[101.04637072585645,4.58247775778245],[101.04044840835157,4.583761101408213],[101.03916094802442,4.577515474091157]]]}"
1,1,"{""type"":""Polygon"",""coordinates"":[[[101.05603918100701,4.573803372481916],[101.05741247202265,4.570894416481135],[101.0637639429699,4.575471738975125],[101.06170400644648,4.577525107783443],[101.05603918100701,4.573803372481916]]]}"
2,1,"{""type"":""Polygon"",""coordinates"":[[[101.1104057951895,4.520642739537033],[101.10856043538726,4.5163645434460085],[101.11280905446684,4.51610785087789],[101.11607062062895,4.519145373776906],[101.1104057951895,4.520642739537033]]]}"
3,1,"{""type"":""Polygon"",""coordinates"":[[[101.14846463551099,4.4977707116095935],[101.14670510639722,4.497556795670528],[101.14606137623365,4.495717116001608],[101.14666219105298,4.4939202150971145],[101.14413018574294,4.493064546442885],[101.1458897148567,4.489470727132016],[101.150267079969,4.491823825110698],[101.14846463551099,4.4977707116095935]]]}"
4,1,"{""type"":""Polygon"",""coordinates"":[[[101.05767114524488,4.608129402624712],[101.05599744681957,4.604985314108131],[101.0617266452754,4.603552289561063],[101.06279952888136,4.606461112489916],[101.05767114524488,4.608129402624712]]]}"
5,1,"{""type"":""Polygon"",""coordinates"":[[[101.04777915839794,4.612513992641453],[101.04582651023512,4.608129402624712],[101.04951722983961,4.606931656257609],[101.05245693091993,4.611187924368734],[101.04777915839794,4.612513992641453]]]}"
6,1,"{""type"":""Polygon"",""coordinates"":[[[101.12257418715889,4.675767362773323],[101.12029967391426,4.670677414415545],[101.12995562636789,4.670720187244789],[101.12969813430244,4.671875052648293],[101.12746653640207,4.672816052681721],[101.12609324538643,4.675382409988076],[101.12257418715889,4.675767362773323]]]}"
7,1,"{""type"":""Polygon"",""coordinates"":[[[101.10098406703383,4.644157759009863],[101.10570475490005,4.639751977580363],[101.10973879725844,4.644499954474314],[101.10484644801528,4.648349642005778],[101.10098406703383,4.644157759009863]]]}"
8,1,"{""type"":""Polygon"",""coordinates"":[[[101.11068771538733,4.6576177302458595],[101.11832664666174,4.656719483526987],[101.1184983080387,4.661937853195183],[101.11403511223791,4.662280040016579],[101.11068771538733,4.6576177302458595]]]}"
9,1,"{""type"":""Polygon"",""coordinates"":[[[101.1159393394163,4.753305124748008],[101.11018868328837,4.749071104837458],[101.11023159863261,4.746547787679145],[101.11701222302224,4.746205642269206],[101.1159393394163,4.753305124748008]]]}"
10,1,"{""type"":""Polygon"",""coordinates"":[[[100.7070131332414,4.903326333821855],[100.7077856094377,4.897297387945396],[100.71658325500655,4.897254629269813],[100.71632576294112,4.899734627934052],[100.71074676819015,4.899948420491579],[100.71031761474775,4.903839433086515],[100.7070131332414,4.903326333821855]]]}"
11,1,"{""type"":""Polygon"",""coordinates"":[[[100.68838251432376,4.8141899832128],[100.69198740323978,4.8139333995039895],[100.69218052228885,4.81711930702795],[100.68872583707767,4.817504180751898],[100.68838251432376,4.8141899832128]]]}"
12,1,"{""type"":""Polygon"",""coordinates"":[[[100.70040788153987,4.862923259091734],[100.69579448203424,4.858219547572535],[100.69882001380304,4.8548841686052135],[100.70414151648859,4.860122416642055],[100.70040788153987,4.862923259091734]]]}"
13,1,"{""type"":""Polygon"",""coordinates"":[[[100.70606150953238,4.872859987235126],[100.70567527143423,4.873993132452841],[100.70697630102545,4.881679857959624],[100.70206249411017,4.882086074713753],[100.70167625601202,4.876620410788848],[100.70294225866705,4.870120860323356],[100.70606150953238,4.872859987235126]]]}"
14,1,"{""type"":""Polygon"",""coordinates"":[[[100.69681566423644,4.863976980395829],[100.69297474092713,4.861667893365857],[100.69404762453307,4.858631859485449],[100.69617193407286,4.8602140196933545],[100.69591444200744,4.86205274175395],[100.6973306483673,4.863549372283915],[100.69681566423644,4.863976980395829]]]}"
15,1,"{""type"":""Polygon"",""coordinates"":[[[100.67226717216133,4.898316304056647],[100.67585060340522,4.899599061097965],[100.67419836265205,4.903276284303374],[100.67095825416206,4.901801121611292],[100.67226717216133,4.898316304056647]]]}"
16,1,"{""type"":""Polygon"",""coordinates"":[[[100.75197415909903,4.819901566404903],[100.75203853211539,4.817143309629473],[100.75371223054069,4.817335746511897],[100.75371223054069,4.819195966899962],[100.75278955063956,4.819260112339779],[100.75276809296744,4.819901566404904],[100.75197415909903,4.819901566404903]]]}"
17,1,"{""type"":""Polygon"",""coordinates"":[[[100.68031016689326,4.816676755430405],[100.68022433620479,4.81481652814967],[100.68183366161372,4.814581326636927],[100.6819194923022,4.815607659913878],[100.68121138912227,4.815714569541181],[100.6809109817126,4.816655373536541],[100.68031016689326,4.816676755430405]]]}"
18,1,"{""type"":""Polygon"",""coordinates"":[[[100.70958449752139,4.892972308385523],[100.70954158217715,4.8911122914473255],[100.71170880706119,4.891326086760561],[100.71173026473332,4.892224026330582],[100.71331813247012,4.892117128825887],[100.71316792876529,4.893121964696116],[100.70958449752139,4.892972308385523]]]}"
19,1,"{""type"":""Polygon"",""coordinates"":[[[100.70268273965151,4.89976701762397],[100.70255399361878,4.898441502305262],[100.70718885079653,4.897586329737122],[100.7069528164032,4.90000218942209],[100.70268273965151,4.89976701762397]]]}"
20,1,"{""type"":""Polygon"",""coordinates"":[[[100.48719909844452,5.109590963381675],[100.48507478890473,5.108864301267622],[100.48655536828095,5.105295095982356],[100.49080398736054,5.107368229614955],[100.4900744265085,5.109142142761467],[100.48769262490327,5.108436852580341],[100.48719909844452,5.109590963381675]]]}"
21,1,"{""type"":""Polygon"",""coordinates"":[[[100.4862796825931,5.104247840362292],[100.48977728314854,5.097643678812994],[100.49228783078648,5.0988833000761735],[100.49093599744297,5.105893526997462],[100.4862796825931,5.104247840362292]]]}"
22,1,"{""type"":""Polygon"",""coordinates"":[[[100.6663357647385,4.242370604853473],[100.66517705044409,4.239032372509788],[100.66991919598242,4.238005221195521],[100.67084187588354,4.24157884592284],[100.6663357647385,4.242370604853473]]]}"
23,1,"{""type"":""Polygon"",""coordinates"":[[[100.66855754239664,4.244962004550069],[100.66647614820107,4.24521879019418],[100.66669072492228,4.2462031343718465],[100.66486682279213,4.246716704748738],[100.66536034925089,4.249370146249607],[100.6634720741044,4.249669727781027],[100.66295708997355,4.24710188230708],[100.6642660079728,4.246845097289551],[100.6641587196122,4.24590355149416],[100.66495265348063,4.245775158796688],[100.66467370374306,4.244748016448059],[100.6684073386918,4.2440632541230245],[100.66855754239664,4.244962004550069]]]}"
24,1,"{""type"":""Polygon"",""coordinates"":[[[100.67121422634351,4.241960958719361],[100.67003405437697,4.237830961835611],[100.67481911525952,4.23684660699053],[100.6756774221443,4.239885263562369],[100.67391789303052,4.240441636007103],[100.67353165493238,4.239072103114981],[100.67263043270337,4.239393087604289],[100.67316687450636,4.24151158189029],[100.67121422634351,4.241960958719361]]]}"
