system:index,class,.geo
0,4,"{""type"":""Polygon"",""coordinates"":[[[100.41443632508926,5.070016729525088],[100.41430757905654,5.067323635460248],[100.42846964265517,5.065570980912038],[100.42855547334366,5.067238140226709],[100.41443632508926,5.070016729525088]]]}"
1,4,"{""type"":""Polygon"",""coordinates"":[[[100.4549657956763,5.060003209160161],[100.45239087502199,5.055386398123047],[100.45779820839601,5.053291723001555],[100.46071645180423,5.05778030425226],[100.4549657956763,5.060003209160161]]]}"
2,4,"{""type"":""Polygon"",""coordinates"":[[[101.1614353523798,4.058434079368978],[101.15328143697452,4.055351916982175],[101.1581737862177,4.044221788337666],[101.16452525716495,4.049530022630882],[101.1614353523798,4.058434079368978]]]}"
3,4,"{""type"":""Polygon"",""coordinates"":[[[101.14547084432316,4.041139571821205],[101.14984820943546,4.028981825860991],[101.1548263893671,4.032920270532634],[101.15036319356632,4.043280001200985],[101.14547084432316,4.041139571821205]]]}"
4,4,"{""type"":""Polygon"",""coordinates"":[[[101.16658519368839,4.02607078928164],[101.16160701375676,4.020591162780446],[101.16452525716495,4.0179369554487],[101.17448161702823,4.0180225751748875],[101.17439578633976,4.022217930744741],[101.16658519368839,4.02607078928164]]]}"
5,4,"{""type"":""Polygon"",""coordinates"":[[[101.17308609610318,4.038378592905673],[101.17102615957974,4.034782646599356],[101.1818408263278,4.029474315818176],[101.18321411734343,4.036152532784376],[101.17308609610318,4.038378592905673]]]}"
6,4,"{""type"":""Polygon"",""coordinates"":[[[101.14779790383673,3.960287043255427],[101.14745458108283,3.9568620066280134],[101.15715344888068,3.9535225822806876],[101.15801175576544,3.9560057452578405],[101.14779790383673,3.960287043255427]]]}"
7,4,"{""type"":""Polygon"",""coordinates"":[[[101.13152928895715,3.948867895488269],[101.13058515138393,3.946127829581011],[101.14122815675502,3.94270273448611],[101.14208646363977,3.9454856253262025],[101.13152928895715,3.948867895488269]]]}"
8,4,"{""type"":""Polygon"",""coordinates"":[[[101.32874799039878,3.7485274345738913],[101.32748198774375,3.746878727064322],[101.32883382108724,3.745476252646288],[101.32902694013633,3.744437777774073],[101.33072209623373,3.7453049579068542],[101.32874799039878,3.7485274345738913]]]}"
9,4,"{""type"":""Polygon"",""coordinates"":[[[101.32394443758282,3.7459574706091856],[101.3240517259434,3.745100997047696],[101.32565032251628,3.744961820014802],[101.32644425638469,3.743580754412232],[101.32743130930218,3.7450046437195983],[101.3263369680241,3.7458932351211467],[101.32394443758282,3.7459574706091856]]]}"
