system:index,class,.geo
0,2,"{""type"":""Polygon"",""coordinates"":[[[101.03395100867344,4.577641227935781],[101.03390809332919,4.574646730274408],[101.03558179175448,4.574518394380459],[101.03532429968907,4.57768400638304],[101.03395100867344,4.577641227935781]]]}"
1,2,"{""type"":""Polygon"",""coordinates"":[[[101.03498097693516,4.55394157568926],[101.03180524146153,4.552273159151829],[101.03669759070468,4.543503213780125],[101.03841420447421,4.544786627087884],[101.03498097693516,4.55394157568926]]]}"
2,2,"{""type"":""Polygon"",""coordinates"":[[[101.05613824164463,4.55021971810342],[101.05558034216953,4.54773846902258],[101.05643864905429,4.5472251060765405],[101.0560094956119,4.545086089864238],[101.05931397711826,4.544786627087884],[101.06012936865879,4.5467973033420614],[101.05815526282383,4.5500485977516485],[101.05613824164463,4.55021971810342]]]}"
3,2,"{""type"":""Polygon"",""coordinates"":[[[101.06022238956372,4.498968717998366],[101.05949282871168,4.496658426331834],[101.0626685641853,4.496487293324304],[101.06262564884106,4.498754802411183],[101.06022238956372,4.498968717998366]]]}"
4,2,"{""type"":""Polygon"",""coordinates"":[[[101.0505664371101,4.511931885179461],[101.05065226779858,4.5099211120195974],[101.0530126117317,4.510520066308962],[101.05309844242018,4.512188579224642],[101.0505664371101,4.511931885179461]]]}"
5,2,"{""type"":""Polygon"",""coordinates"":[[[101.06016370607952,4.537163949210554],[101.05999204470257,4.534875169705021],[101.06295320345501,4.535046293657244],[101.0624811346684,4.537035606626524],[101.06016370607952,4.537163949210554]]]}"
6,2,"{""type"":""Polygon"",""coordinates"":[[[101.05131093746854,4.464375587685399],[101.05000201946928,4.463733810367438],[101.04888622051908,4.464204447122158],[101.05186883694364,4.4604393446360975],[101.0533923316641,4.461936830891933],[101.05131093746854,4.464375587685399]]]}"
7,2,"{""type"":""Polygon"",""coordinates"":[[[101.05533751662857,4.493728294178111],[101.05505856689103,4.490155869952201],[101.05497273620256,4.486947090765514],[101.05649623092302,4.486455076709714],[101.0560456198085,4.488872359970388],[101.0575047415126,4.489856384491714],[101.05797681029922,4.494049169748995],[101.05518731292374,4.493878036128764],[101.05533751662857,4.493728294178111]]]}"
8,2,"{""type"":""Polygon"",""coordinates"":[[[101.06104314725934,4.438969447407403],[101.06085002821027,4.437279374264541],[101.0640257636839,4.431460358672768],[101.06496990125713,4.42994141691539],[101.06668651502666,4.429984204049852],[101.06651485364972,4.430968307459237],[101.0670727531248,4.431652900362842],[101.06591403883039,4.432594214570175],[101.06449783247051,4.43289372338474],[101.06323182981548,4.434776347439656],[101.06496990125713,4.438327647935417],[101.06104314725934,4.438969447407403]]]}"
9,2,"{""type"":""Polygon"",""coordinates"":[[[101.06062574072962,4.472716944298126],[101.06058282538538,4.4712408724189165],[101.06281442328579,4.470128468458021],[101.0623852698434,4.467860870540081],[101.06337232276087,4.467818085606283],[101.06423062964565,4.46944391133516],[101.06508893653042,4.472310490019423],[101.06077594443445,4.472738336622339],[101.06062574072962,4.472716944298126]]]}"
10,2,"{""type"":""Polygon"",""coordinates"":[[[101.05940483933128,4.421573846283456],[101.05897568588891,4.418300586175885],[101.06017731552758,4.413615306372235],[101.0652627838198,4.416760223477952],[101.06556319122947,4.4190493724427995],[101.05940483933128,4.421573846283456]]]}"
11,2,"{""type"":""Polygon"",""coordinates"":[[[100.9850919352914,4.399655435570872],[100.9891259776498,4.377704416182565],[100.99032760728846,4.378560218493878],[100.98676563371669,4.40008332426679],[100.9850919352914,4.399655435570872]]]}"
12,2,"{""type"":""Polygon"",""coordinates"":[[[100.97938419450772,4.417412609553191],[100.97981334795008,4.406073740180847],[100.9823024379159,4.4065872021574775],[100.98122955430996,4.411550649644186],[100.98367572893154,4.412919870701024],[100.98191619981776,4.416856367170882],[100.97938419450772,4.417412609553191]]]}"
13,2,"{""type"":""Polygon"",""coordinates"":[[[100.55942919987982,4.858944749155177],[100.56037333745307,4.854069964189718],[100.5721750571186,4.8603986255663525],[100.57170298833198,4.862664956068124],[100.55942919987982,4.858944749155177]]]}"
14,2,"{""type"":""Polygon"",""coordinates"":[[[100.60758726129042,4.247709569733996],[100.60518400201308,4.241375519353927],[100.62475339898573,4.2347846280176595],[100.64749853143203,4.243344216253832],[100.64397947320448,4.249678250477666],[100.61986104974258,4.243087429986244],[100.60758726129042,4.247709569733996]]]}"
15,2,"{""type"":""Polygon"",""coordinates"":[[[100.66946912990184,4.315971949904573],[100.66492010341257,4.316185918097542],[100.66200186000437,4.311906542783504],[100.66277433620066,4.3046315494539416],[100.66934038386911,4.300266520073879],[100.67822386012644,4.3022350658326936],[100.67079950557323,4.311264634407225],[100.66946912990184,4.315971949904573]]]}"
16,2,"{""type"":""Polygon"",""coordinates"":[[[100.91772067751704,4.641926765544321],[100.90330112185298,4.624132316735928],[100.90536105837643,4.623148475981494],[100.92003810610592,4.641156822707714],[100.91772067751704,4.641926765544321]]]}"
17,2,"{""type"":""Polygon"",""coordinates"":[[[100.86073235942953,4.038821654369137],[100.85266427471275,4.037623008024355],[100.85609750225181,4.019728720287455],[100.85283593608969,3.987021400790914],[100.85987405254478,3.9866789088665158],[100.86983041240805,4.012879128127325],[100.86073235942953,4.038821654369137]]]}"
18,2,"{""type"":""Polygon"",""coordinates"":[[[100.81259670075933,4.037784149616187],[100.79216899690192,4.011755969941534],[100.79543056306403,3.997200376008447],[100.81997813996831,4.025112639752189],[100.81259670075933,4.037784149616187]]]}"
19,2,"{""type"":""Polygon"",""coordinates"":[[[101.07476310696828,4.30350804028552],[101.07102947201955,4.3011543476081595],[101.07304649319873,4.298394098749402],[101.07609348263966,4.301689278400807],[101.07476310696828,4.30350804028552]]]}"
20,2,"{""type"":""Polygon"",""coordinates"":[[[101.0995915953405,4.754772670572002],[101.10021386783194,4.750517275717062],[101.10405479114128,4.752634284482135],[101.10369001071524,4.754516064591676],[101.0995915953405,4.754772670572002]]]}"
21,2,"{""type"":""Polygon"",""coordinates"":[[[100.66055713388931,5.027083680450894],[100.66622195932878,5.000235961353371],[100.67832408640396,5.003912625007052],[100.66493449900162,5.027853184776667],[100.6598704883815,5.027425682485703],[100.66055713388931,5.027083680450894]]]}"
22,2,"{""type"":""Polygon"",""coordinates"":[[[100.93414041020463,4.524439571890429],[100.92941972233844,4.508952463480152],[100.93053552128862,4.508652985750979],[100.93559953190874,4.52422566380671],[100.93414041020463,4.524439571890429]]]}"
23,2,"{""type"":""Polygon"",""coordinates"":[[[101.01637281278262,4.01808883112502],[101.01070798734317,4.01278039154523],[101.00057996610293,3.9987385464404923],[101.00349820951115,3.9977110849041697],[101.01019300321232,4.006444466885277],[101.0179177651752,4.01629081513416],[101.01637281278262,4.01808883112502]]]}"
24,2,"{""type"":""Polygon"",""coordinates"":[[[100.7092945150671,4.9214748883598896],[100.70946617644405,4.919593572225634],[100.7124273351965,4.920063901757753],[100.71139736693478,4.9214748883598896],[100.7092945150671,4.9214748883598896]]]}"
25,2,"{""type"":""Polygon"",""coordinates"":[[[100.68650646727657,4.922843114934872],[100.68483276885128,4.9214748883598896],[100.68367405455685,4.9212183455638385],[100.68375988524532,4.919764601184854],[100.685862737113,4.9198501156479875],[100.68753643553829,4.9218169452674205],[100.68650646727657,4.922843114934872]]]}"
26,2,"{""type"":""Polygon"",""coordinates"":[[[100.62226064270715,4.8454040897934565],[100.6199861294625,4.841085116531829],[100.62118775910118,4.835226663192985],[100.6242347485421,4.835440476249949],[100.62363393372276,4.840443682507062],[100.62487847870567,4.845746185506211],[100.62226064270715,4.8454040897934565]]]}"
27,2,"{""type"":""Polygon"",""coordinates"":[[[100.55948388541644,4.825203406094805],[100.56008470023579,4.8226376062278185],[100.57566297019427,4.82853893142058],[100.57510507071918,4.830548791325983],[100.55948388541644,4.825203406094805]]]}"
