system:index,class,.geo
0,3,"{""type"":""Polygon"",""coordinates"":[[[101.1169493865967,4.590178296130975],[101.11531860351565,4.589151630639093],[101.11609107971194,4.588210519307651],[101.11360198974612,4.586670516271359],[101.110340423584,4.583333831635821],[101.108537979126,4.580938253572293],[101.11004001617434,4.579398234864785],[101.11390239715578,4.584189393284269],[101.11969596862795,4.586456626698125],[101.1169493865967,4.590178296130975]]]}"
1,3,"{""type"":""Polygon"",""coordinates"":[[[101.15602490480691,4.61361397675308],[101.15653988893779,4.606427523733645],[101.16130349214822,4.607111950961496],[101.1601447778538,4.613870634444875],[101.15602490480691,4.61361397675308]]]}"
2,3,"{""type"":""Polygon"",""coordinates"":[[[101.15744111116678,4.595702816553647],[101.15726944978984,4.588730071692373],[101.16199013765603,4.589243404926076],[101.16156098421365,4.596002258057726],[101.15744111116678,4.595702816553647]]]}"
3,3,"{""type"":""Polygon"",""coordinates"":[[[101.09030931648313,4.542454049824489],[101.09022348579465,4.540229458110468],[101.08932226356566,4.538732132902426],[101.08666151222288,4.538090421148035],[101.08739107307493,4.5366358723929565],[101.08953684028685,4.536978119422483],[101.09112470802366,4.536165282462503],[101.09374254402219,4.538946036693782],[101.09202593025267,4.539288282628066],[101.09159677681029,4.542368488731598],[101.09030931648313,4.542454049824489]]]}"
4,3,"{""type"":""Polygon"",""coordinates"":[[[101.06526073922595,4.560056201650336],[101.06498178948841,4.5594572884324425],[101.06596884240588,4.558494748286361],[101.06682714929066,4.559371729360566],[101.06526073922595,4.560056201650336]]]}"
5,3,"{""type"":""Polygon"",""coordinates"":[[[101.05928903880839,4.4624313233932495],[101.06021171870951,4.459714455045944],[101.06227165523295,4.460998016147617],[101.06147772136454,4.463051709243853],[101.05928903880839,4.4624313233932495]]]}"
6,3,"{""type"":""Polygon"",""coordinates"":[[[101.07843060910784,4.451377234044782],[101.0791601699599,4.443205083223899],[101.08237882077778,4.446585198483265],[101.08087678372942,4.451976236296872],[101.07843060910784,4.451377234044782]]]}"
7,3,"{""type"":""Polygon"",""coordinates"":[[[101.20006606780466,4.4827034785633835],[101.19852111541209,4.491773644035952],[101.19375751220164,4.492714881166689],[101.1931566973823,4.483302455228878],[101.20006606780466,4.4827034785633835]]]}"
8,3,"{""type"":""Polygon"",""coordinates"":[[[101.20047050412387,4.598682142526341],[101.20098548825472,4.5925222008532804],[101.20677905972688,4.5923083130335876],[101.20913940365999,4.599965457005756],[101.20047050412387,4.598682142526341]]]}"
9,3,"{""type"":""Polygon"",""coordinates"":[[[101.00076384462872,4.834005978790349],[101.00215859331645,4.831515047216622],[101.00327439226665,4.833204177780935],[101.00286669649638,4.834519130938384],[101.00076384462872,4.834005978790349]]]}"
10,3,"{""type"":""Polygon"",""coordinates"":[[[100.6981728926893,4.852014337660944],[100.69847330009897,4.84876445155092],[100.70603712952098,4.849266902070372],[100.70555433189828,4.852270906950699],[100.6981728926893,4.852014337660944]]]}"
11,3,"{""type"":""Polygon"",""coordinates"":[[[100.62828845409173,4.785277707244827],[100.62717265514154,4.773132125036041],[100.6459695759179,4.773559790036269],[100.64476794627923,4.7846789864072745],[100.62828845409173,4.785277707244827]]]}"
12,3,"{""type"":""Polygon"",""coordinates"":[[[100.62273385392459,4.580075033441509],[100.62075974808964,4.568353682454453],[100.63466431962283,4.569380377795508],[100.63311936723026,4.579390580265905],[100.62273385392459,4.580075033441509]]]}"
13,3,"{""type"":""Polygon"",""coordinates"":[[[100.82131460896412,4.569600049727138],[100.82131460896412,4.554627268456089],[100.84311560383716,4.555311745263659],[100.84345892659105,4.570198954480226],[100.82131460896412,4.569600049727138]]]}"
14,3,"{""type"":""Polygon"",""coordinates"":[[[100.79325932592906,4.676755529424796],[100.79180020422497,4.6616994619909145],[100.80621975988903,4.6591330546487955],[100.80673474401988,4.676413349664397],[100.79325932592906,4.676755529424796]]]}"
15,3,"{""type"":""Polygon"",""coordinates"":[[[101.01927181711014,4.66447124759516],[101.01772686471756,4.641116687876196],[101.03901287545975,4.641458884815624],[101.03944202890214,4.666438812444172],[101.01927181711014,4.66447124759516]]]}"
16,3,"{""type"":""Polygon"",""coordinates"":[[[101.37157372230006,4.072533498618652],[101.37174538367701,4.052157118341336],[101.40041283362818,4.053355743181893],[101.39526299231959,4.071848586638559],[101.37157372230006,4.072533498618652]]]}"
17,3,"{""type"":""Polygon"",""coordinates"":[[[101.25840755308626,4.781032797214762],[101.25832172239777,4.76572239095835],[101.27402873838898,4.765807924902662],[101.27471538389679,4.780861733111293],[101.25840755308626,4.781032797214762]]]}"
18,3,"{""type"":""Polygon"",""coordinates"":[[[101.22443989737296,4.8422185226470615],[101.22538403494622,4.835547590246363],[101.23242215140128,4.836488366746247],[101.2305338762548,4.843501386722097],[101.22443989737296,4.8422185226470615]]]}"
19,3,"{""type"":""Polygon"",""coordinates"":[[[101.2468909446774,5.329288401398399],[101.22779361649137,5.320998757258763],[101.23586170120817,5.312623539431492],[101.2491225425778,5.318734041229206],[101.2468909446774,5.329288401398399]]]}"
20,3,"{""type"":""Polygon"",""coordinates"":[[[100.74742565029955,5.0805658240608755],[100.7395292269597,5.080651317528647],[100.73944339627123,5.073298837865379],[100.7484985339055,5.073042354504022],[100.74742565029955,5.0805658240608755]]]}"
21,3,"{""type"":""Polygon"",""coordinates"":[[[100.71200688570651,4.9535237474401805],[100.71166356295261,4.9498895574942186],[100.71518262118016,4.949804046902086],[100.71533282488498,4.953652012602768],[100.71200688570651,4.9535237474401805]]]}"
