flooded,x,y,z
0.0,50,50,240.52570000001577
0.0,150,50,237.50890000001812
0.0,250,50,245.56390000002003
0.0,350,50,252.70680000002397
0.0,450,50,252.5749000000169
0.0,550,50,255.52060000001748
0.0,650,50,323.82680000001875
0.0,750,50,481.9230000000277
0.0,850,50,870.6699000000585
0.0,950,50,1248.3878000000861
0.0,1050,50,1758.6560000001502
0.0,1150,50,1573.3306000001342
0.0,1250,50,1984.9216000001395
0.0,1350,50,3397.8509000003087
0.0,1450,50,3841.609200000329
0.0,1550,50,4259.423100000333
0.0,1650,50,4633.799100000367
0.0,1750,50,4809.954800000382
0.0,1850,50,5245.998000000451
0.0,1950,50,5217.924300000436
0.0,2050,50,5318.9487000004065
0.0,2150,50,5215.528400000436
0.0,2250,50,4900.038900000407
0.0,2350,50,5138.795500000385
0.0,2450,50,4828.641700000428
0.0,2550,50,5049.382600000414
0.0,2650,50,5279.886900000465
0.0,2750,50,4703.524100000399
0.0,2850,50,4703.977800000364
0.0,2950,50,4891.212900000391
0.0,3050,50,5078.10430000039
0.0,3150,50,4990.2570000004
0.0,3250,50,5014.643999999395
0.0,3350,50,5471.81099999936
0.0,3450,50,5298.753399999401
0.0,3550,50,4825.483099999483
0.0,3650,50,4896.266299999508
0.0,3750,50,4690.663499999478
0.0,3850,50,4649.153399999446
0.0,3950,50,4594.486399999422
0.0,4050,50,4530.240499999424
0.0,4150,50,4549.09059999948
0.0,4250,50,4811.536099999468
0.0,4350,50,4718.773099999499
0.0,4450,50,4698.582899999444
0.0,4550,50,4845.33869999945
0.0,4650,50,4641.900899999473
0.0,4750,50,4675.093799999468
0.0,4850,50,4710.097499999479
0.0,4950,50,4987.180699999425
0.0,5050,50,5008.240999999392
0.0,5150,50,5168.160499999418
0.0,5250,50,5118.724999999418
0.0,5350,50,4988.508499999442
0.0,5450,50,5150.425599999435
0.0,5550,50,5098.9341999994385
0.0,5650,50,5057.051399999457
0.0,5750,50,4952.749099999483
0.0,5850,50,4857.297099999438
0.0,5950,50,4961.830199999433
0.0,6050,50,4973.086499999435
0.0,6150,50,5036.394399999461
0.0,6250,50,5151.085699999448
0.0,6350,50,5012.462899999427
0.0,6450,50,5030.230299999462
0.0,6550,50,5050.431499999473
0.0,6650,50,5168.065899999504
0.0,6750,50,4944.12929999953
0.0,6850,50,4974.425399999543
0.0,6950,50,4938.900999999514
0.0,7050,50,4969.045999999498
0.0,7150,50,4936.4560999994865
0.0,7250,50,4956.849699999506
0.0,7350,50,5115.085099999479
0.0,7450,50,5057.317999999528
0.0,7550,50,5098.3267999994905
0.0,7650,50,4942.307899999475
0.0,7750,50,4931.286799999529
0.0,7850,50,4880.850299999544
0.0,7950,50,4882.579999999549
0.0,8050,50,4899.179399999489
